price,levy,manufacturer,model,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,gear_box_type,drive_wheels,doors,wheel,color,airbags,engine_turbo,age
13328.0,1399.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,186005.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12.0,0,13
16621.0,1018.0,CHEVROLET,Equinox,Jeep,No,Petrol,3.0,192000.0,6.0,Tiptronic,4x4,4-5,Left wheel,Black,8.0,0,12
8467.0,0.0,HONDA,FIT,Hatchback,No,Petrol,1.3,200000.0,4.0,Variator,Front,4-5,Right-hand drive,Black,2.0,0,17
3607.0,862.0,FORD,Escape,Jeep,Yes,Hybrid,2.5,168966.0,4.0,Automatic,4x4,4-5,Left wheel,White,0.0,0,12
11726.0,446.0,HONDA,FIT,Hatchback,Yes,Petrol,1.3,91901.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4.0,0,9
39493.0,891.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,160931.0,4.0,Automatic,Front,4-5,Left wheel,White,4.0,0,7
1803.0,761.0,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,258909.0,4.0,Automatic,Front,4-5,Left wheel,White,12.0,0,13
549.0,751.0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,216118.0,4.0,Automatic,Front,4-5,Left wheel,Grey,12.0,0,10
1098.0,394.0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,362717.5,4.0,Automatic,Front,4-5,Left wheel,Black,12.0,0,9
26657.0,0.0,LEXUS,RX 350,Jeep,Yes,Petrol,3.5,128500.0,6.0,Automatic,4x4,4-5,Left wheel,Silver,12.0,0,16
941.0,1053.0,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,184467.0,6.0,Automatic,Rear,4-5,Left wheel,White,12.0,0,9
8781.0,0.0,FORD,Transit,Microbus,No,CNG,3.55,0.0,8.0,Manual,Rear,2-3,Left wheel,Blue,0.0,0,24
3000.0,0.0,OPEL,Vectra,Goods wagon,No,CNG,1.6,350000.0,4.0,Manual,Front,4-5,Left wheel,White,4.0,0,26
1019.0,1055.0,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,138038.0,6.0,Automatic,Front,4-5,Left wheel,White,12.0,0,10
47356.0,891.0,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,76000.0,4.0,Automatic,Front,4-5,Left wheel,White,4.0,0,7
549.0,1079.0,TOYOTA,CHR,Jeep,Yes,Petrol,2.0,74146.0,4.0,Automatic,Front,4-5,Left wheel,White,12.0,0,5
7683.0,810.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,121840.0,4.0,Automatic,Front,4-5,Left wheel,Blue,12.0,0,7
28382.0,810.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,54317.0,4.0,Automatic,Front,4-5,Left wheel,White,4.0,0,7
549.0,2287.5,HYUNDAI,Sonata,Sedan,Yes,Petrol,3.3,295059.0,6.0,Automatic,Rear,4-5,Left wheel,Blue,12.0,0,17
941.0,1850.0,LEXUS,RX 400,Jeep,Yes,Hybrid,3.5,362717.5,6.0,Automatic,4x4,4-5,Left wheel,Black,12.0,0,15
18826.0,531.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,112645.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4.0,0,11
20698.0,586.0,TOYOTA,Prius,Sedan,Yes,Plug-in Hybrid,1.8,187000.0,4.0,Automatic,Front,4-5,Left wheel,White,12.0,0,11
17562.0,1249.0,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,39709.0,4.0,Automatic,Front,4-5,Left wheel,Black,12.0,0,6
7840.0,0.0,FORD,Transit,Microbus,No,Diesel,2.0,230000.0,4.0,Manual,Front,2-3,Left wheel,White,0.0,1,22
4704.0,0.0,OPEL,Vectra,Sedan,No,Petrol,1.8,0.0,4.0,Automatic,Front,4-5,Left wheel,Green,4.0,0,28
20385.0,0.0,MERCEDES-BENZ,E 220,Sedan,Yes,Diesel,2.2,210000.0,4.0,Tiptronic,Rear,4-5,Left wheel,Black,8.0,1,17
549.0,2287.5,LEXUS,GX 470,Jeep,Yes,Petrol,3.55,0.0,8.0,Automatic,4x4,4-5,Left wheel,White,0.0,0,15
14454.0,583.0,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,158787.0,4.0,Automatic,Front,4-5,Left wheel,Silver,4.0,0,12
12074.0,1537.0,TOYOTA,Highlander,Jeep,Yes,Hybrid,3.3,362717.5,6.0,Automatic,4x4,4-5,Left wheel,Blue,12.0,0,14
15681.0,1288.0,MERCEDES-BENZ,Vito,Goods wagon,No,Diesel,2.0,180000.0,6.0,Manual,Rear,4-5,Left wheel,White,4.0,1,16
19444.0,915.0,PORSCHE,Cayenne,Jeep,Yes,Diesel,3.0,175056.0,6.0,Automatic,4x4,4-5,Left wheel,White,12.0,0,9
